listing_id,name
1541355,Storage
1541355,Valet
1541355,River VIew
1541355,Concierge
1541355,Courtyard
1541355,Pied a Terre
1541355,Pets - Dogs ok
1541502,Washer/Dryer
1541502,Full-time doorman
1541502,Elevator
1541502,Gym/Fitness
1541502,Pool
1541502,Common parking/Garage
1541502,New construction
1541502,Bicycle Room
1541502,Storage
1541502,Valet
1541502,Common roof deck
1541502,Common Outdoor Space
1541502,Receiving Room
1541502,River VIew
1541502,Concierge
1541502,Children Playroom
1541502,Sponsor Unit
1541502,Pets - Dogs ok
1541502,Pets - Cats ok
1542785,Full-time doorman
1542785,Elevator
1542785,Gym/Fitness
1542785,Pool
1542785,Common parking/Garage
1542785,On-site laundry
1542785,Bicycle Room
1542785,Storage
1542785,Valet
1542785,City view
1542785,Children Playroom
1542785,Courtyard
1542785,Driveway
1542785,Pied a Terre
1542785,Pets - Dogs ok
1542785,Pets - Cats ok
1542785,Concierge
1543790,Air conditioning
1543790,Bike room
1543790,City view
1543790,Common parking/Garage
1543790,Common roof deck
1543790,Common terrace
1543790,Concierge
1543790,Courtyard
1543790,Doorman
1543790,Elevator
1543790,Full-time doorman
1543790,Gym/Fitness
1543790,Live-in superintendent
1543790,Lounge room
1543790,New construction
1543790,Newly renovated
1543790,On-site laundry
1543790,Package Room
1543790,Pets - Cats ok
1543790,Pets - Dogs ok
1543790,Stainless Steel Appliances
1543790,Washer/Dryer
1543790,Water view
1543790,Common Outdoor Space
1543790,Dishwasher
1543790,Luxury building
1543790,Media Room
1543790,Pets on approval
1544210,Terrace
1544210,Full-time doorman
1544210,Elevator
1544210,Gym/Fitness
1544210,Common parking/Garage
1544210,On-site laundry
1544210,Storage
1544210,City view
1544210,Concierge
1544210,Courtyard
1544210,Pied a Terre
1544210,Pets - Dogs ok
1544210,Pets - Cats ok
1544212,Garden
1544212,Dishwasher
1544212,Washer/Dryer
1544212,Full-time doorman
1544212,Elevator
1544212,Gym/Fitness
1544212,Pool
1544212,Common parking/Garage
1544212,New construction
1544212,On-site laundry
1544212,Bicycle Room
1544212,Storage
1544212,Valet
1544212,Common roof deck
1544212,Common Outdoor Space
1544212,Receiving Room
1544212,Concierge
1544212,Children Playroom
1544212,Sponsor Unit
1544212,Pets - Dogs ok
1544212,Pets - Cats ok
1544347,Private balcony
1544347,Washer/Dryer
1544347,Full-time doorman
1544347,Elevator
1544347,Gym/Fitness
1544347,Pool
1544347,On-site laundry
1544347,Bicycle Room
1544347,Storage
1544347,Lounge
1544347,Valet
1544347,Common roof deck
1544347,Wifi
1544347,Courtyard
1544347,Pied a Terre
1544347,Pets - Dogs ok
1544347,Pets - Cats ok
1544347,Hardwood
1544347,High Ceilings
1545375,Full-time doorman
1545375,Elevator
1545375,Gym/Fitness
1545375,Common parking/Garage
1545375,On-site laundry
1545375,Bicycle Room
1545375,Storage
1545375,Common roof deck
1545375,Common Outdoor Space
1545375,City view
1545375,Concierge
1545375,Live In Super
1545375,Children Playroom
1545375,Pied a Terre
1545375,Pets - Dogs ok
1545375,Pets - Cats ok
1546328,Washer/Dryer
1546328,Full-time doorman
1546328,Elevator
1546328,Gym/Fitness
1546328,Common parking/Garage
1546328,On-site laundry
1546328,Bicycle Room
1546328,Storage
1546328,Common roof deck
1546328,Common Outdoor Space
1546328,Concierge
1546328,Live In Super
1546328,Children Playroom
1546328,Pied a Terre
1546328,Pets - Dogs ok
1546328,Pets - Cats ok
1547049,Outdoor Space
1547049,Dishwasher
1547049,Washer/Dryer
1547049,Full-time doorman
1547049,Elevator
1547049,Gym/Fitness
1547049,Pool
1547049,Subway
1547049,New construction
1547049,Nursery
1547049,Lounge
1547049,Valet
1547049,Common roof deck
1547049,Wifi
1547049,Common Outdoor Space
1547049,Business Center
1547049,Concierge
1547049,Live In Super
1547049,Children Playroom
1547049,Microwave
1547049,Free Rent
1547049,Pets - Dogs ok
1547049,Pets - Cats ok
1547153,Washer/Dryer
1547153,Full-time doorman
1547153,Elevator
